-28.606309,41.491196,85.918,Wpt_RD,1970-01-02T05:02:03Z
-28.605513,41.492136,,Wpt_lBahVv7,1970-01-02T05:02:04.745Z
-28.604906,41.492637,31.126,Wpt_hTE,1970-01-02T05:02:06.253Z
-28.604548,41.493038,,Wpt_0H,1970-01-02T05:02:07.655Z
-28.604396,41.493069,24.212,Wpt_k,1970-01-02T05:02:09.328Z
-28.603524,41.493167,5.795,Wpt_iX,1970-01-02T05:02:10.835Z
-28.603490,41.494039,36.201,Wpt_TyhlOke,1970-01-02T05:02:12.090Z
-28.602885,41.494402,73.608,Wpt_rS,1970-01-02T05:02:13.507Z
-28.602833,41.494822,2.947,Wpt_obZdF3b0,1970-01-02T05:02:14.965Z
-28.601890,41.495138,,ESTIMATED Position,1970-01-02T05:02:16.543Z
